1,0
2,2500
3,3000
4,3500
5,4000
6,5000
7,6000
8,7000
9,8000
10,9000
11,10000
12,12000
13,14000
14,16000
15,18000
16,21000
17,24500
18,28000
19,31500
20,35000
21,42000
22,49000
23,56000
24,63000
25,70000
26,83000
27,96000
28,109000
29,122000
30,135000
31,158000
32,181000
33,204000
34,227000
35,250000
36,290000
37,330000
38,370000
39,410000
40,450000
41,520000
42,590000
43,660000
44,730000
45,800000
46,900000
47,1000000
48,1100000
49,1200000
50,1300000
51,1440000
52,1580000
53,1720000
54,1860000
55,2000000
56,2200000
57,2400000
58,2600000
59,2800000
60,3000000
61,3350000
62,3700000
63,4050000
64,4400000
65,4750000
66,5250000
67,5750000
68,6250000
69,6750000
70,7250000
71,8000000
72,8750000
73,9500000
74,10250000
75,11000000
76,12000000
77,13000000
78,14000000
79,15000000
80,16000000
